'221', '2018-05-02 00:00:00', '06:51:00', '00:45:00', '0'
'222', '2018-05-03 00:00:00', '06:42:00', '00:45:00', '0'
'223', '2018-05-04 00:00:00', '05:08:00', '00:45:00', '0'
'224', '2018-05-07 00:00:00', '07:15:00', '00:45:00', '0'
'225', '2018-05-08 00:00:00', '07:30:00', '00:45:00', '0'
'226', '2018-05-09 00:00:00', '07:55:00', '00:45:00', '0'
'227', '2018-05-10 00:00:00', '00:00:00', '00:00:00', '2'
'228', '2018-05-11 00:00:00', '00:00:00', '00:00:00', '2'
'229', '2018-05-14 00:00:00', '06:54:00', '00:45:00', '0'
'230', '2018-05-15 00:00:00', '08:26:00', '00:45:00', '0'
'231', '2018-05-16 00:00:00', '07:31:00', '00:45:00', '0'
'232', '2018-05-17 00:00:00', '07:31:00', '00:45:00', '0'
'233', '2018-05-18 00:00:00', '05:24:00', '00:45:00', '0'
'234', '2018-05-21 00:00:00', '00:00:00', '00:00:00', '2'
'235', '2018-05-22 00:00:00', '07:27:00', '00:45:00', '0'
'236', '2018-05-23 00:00:00', '07:10:00', '00:45:00', '0'
'237', '2018-05-24 00:00:00', '06:53:00', '00:45:00', '0'
'238', '2018-05-25 00:00:00', '06:31:00', '00:15:00', '0'
'239', '2018-05-28 00:00:00', '07:28:00', '00:45:00', '0'
'240', '2018-05-29 00:00:00', '08:27:00', '00:45:00', '0'
'241', '2018-05-30 00:00:00', '08:33:00', '00:45:00', '0'
'242', '2018-05-31 00:00:00', '07:09:00', '00:45:00', '0'
'243', '2018-04-09 00:00:00', '08:26:00', '00:15:00', '0'
'244', '2018-04-10 00:00:00', '07:10:00', '00:45:00', '0'
'245', '2018-04-11 00:00:00', '08:00:00', '00:15:00', '0'
'246', '2018-04-12 00:00:00', '07:55:00', '00:45:00', '0'
'247', '2018-04-13 00:00:00', '05:54:00', '00:00:00', '0'
'248', '2018-04-02 00:00:00', '00:00:00', '00:00:00', '2'
'249', '2018-04-03 00:00:00', '00:00:00', '00:00:00', '2'
'250', '2018-04-04 00:00:00', '00:00:00', '00:00:00', '2'
'251', '2018-04-05 00:00:00', '00:00:00', '00:00:00', '2'
'252', '2018-04-06 00:00:00', '00:00:00', '00:00:00', '2'
'253', '2018-04-16 00:00:00', '06:49:00', '00:45:00', '0'
'254', '2018-04-17 00:00:00', '07:19:00', '00:45:00', '0'
'255', '2018-04-18 00:00:00', '00:00:00', '00:00:00', '2'
'256', '2018-04-19 00:00:00', '07:55:00', '00:15:00', '0'
'257', '2018-04-20 00:00:00', '07:00:00', '00:15:00', '0'
'258', '2018-04-23 00:00:00', '00:00:00', '00:00:00', '0'
'259', '2018-04-24 00:00:00', '07:24:00', '00:45:00', '0'
'260', '2018-04-25 00:00:00', '07:42:00', '00:45:00', '0'
'261', '2018-04-26 00:00:00', '07:33:00', '00:45:00', '0'
'262', '2018-04-27 00:00:00', '05:49:00', '00:15:00', '0'
'263', '2018-04-30 00:00:00', '00:00:00', '00:00:00', '2'
'264', '2019-03-27 00:00:00', '00:00:00', '00:00:00', '3'
'265', '2019-03-25 00:00:00', '07:26:00', '00:45:00', '0'
'266', '2019-03-26 00:00:00', '07:21:00', '00:45:00', '0'
'267', '2019-03-28 00:00:00', '07:17:00', '00:45:00', '0'
'268', '2019-03-29 00:00:00', '05:22:00', '00:45:00', '0'
'269', '2019-04-01 00:00:00', '06:51:00', '00:45:00', '0'
'270', '2019-04-02 00:00:00', '06:10:00', '00:45:00', '0'
'271', '2019-04-03 00:00:00', '06:28:00', '00:45:00', '0'
'272', '2019-04-04 00:00:00', '07:02:00', '00:45:00', '0'
'273', '2019-04-05 00:00:00', '05:03:00', '00:45:00', '0'
'274', '2019-04-08 00:00:00', '06:57:00', '00:45:00', '0'
'275', '2019-04-09 00:00:00', '07:47:00', '00:45:00', '0'
'276', '2019-04-10 00:00:00', '06:52:00', '00:45:00', '0'
'277', '2019-04-11 00:00:00', '06:01:00', '00:45:00', '0'
'278', '2019-04-12 00:00:00', '04:54:00', '00:45:00', '0'
'279', '2019-04-24 00:00:00', '07:48:00', '00:45:00', '0'
'280', '2019-04-25 00:00:00', '07:24:00', '00:45:00', '0'
'281', '2019-04-22 00:00:00', '00:00:00', '00:00:00', '2'
